"video_id","title","views","likes","upload_date","duration"
"X1kp-ABIIxQ","Your agent architecture has a half-life of 6 months — Dan Farrelly, CTO, Inngest","1567","38","2026-07-21","19:20"
"XV2oYi7kojc","The Desktop Frontier — Ahmad Osman, Osmantic","1011","35","2026-07-21","18:01"
"1EZdpEhwmNc","Through the AI Fog: The Architectural Decision Agentic Security Depends On — Manoj Nair, Snyk","694","8","2026-07-20","23:29"
"yWS0udrIOc8","Agentic Security: Permissions, Provenance, and the Agent Supply Chain — Steve Yegge, Gas Town","617","15","2026-07-20","22:32"
"cgimkNGNjvU","Agentic Development Security — Ezra Tanzer, Snyk","229","7","2026-07-20","27:33"
"XjI-AR4pt7Y","Your LLM Stack Is a 2008 Database With Better Marketing — Lovina Dmello, NVIDIA","479","11","2026-07-20","20:36"
"LqLoYksJ6do","We Gave an Agent Production Code Access and Then Tried to Sleep at Night — Moritz Johner, Form3","392","3","2026-07-20","21:56"
"IvE8n-ylFYY","Privacy-Preserving Intelligence — Steve Korshakov, Bee (acq. Amazon)","286","6","2026-07-20","15:53"
"I3znWC3MEXM","It's 10pm. Do You Know Where Your Agents Are? — Kim Maida, Keycard","366","11","2026-07-20","23:02"
"2xJoimgoqBg","Security Track Intro — Randall Degges, Snyk","266","1","2026-07-20","4:16"
"1lgFGaHoGq8","AI’s Jurassic Park Period — Aaron Stanley, dbt Labs","958","31","2026-07-20","21:41"
"VrpEyglYgeU","In the Land of AI Agents, the Verifiers Are King — Tariq Shaukat, Sonar","3811","126","2026-07-20","18:53"
"wEc9aG7cRQc","Why Your Agent Disagrees With Itself (And What To Do About It) - Diane Lin, Datadog","1333","29","2026-07-20","25:38"
"m24UKZomm7k","Don't Let the LLM Drive - Ornella Bahidika & Joel Allou, Microsoft","761","18","2026-07-20","6:07"
"fnLBmfsI_Fg","Your Voice Agent Doesn't Need a Frontier Model - Joel Allou & Ornella Bahidika, Microsoft","490","13","2026-07-20","5:44"
"B8l81jhvHbI","Enterprise Agents Have a Structure Problem - Ishita Daga, Tesla","988","19","2026-07-20","12:07"
"bUJgirn4_yc","When Agents Meet Physical Data: The Other Physics of Agent Harnesses - Dmitry Petrov, DataChain","319","5","2026-07-20","27:32"
"ltv-L5oMPIs","Build the AI GTM Agent That Knows the Buyer - Dr. Sajjan Kanukolanu, Position2 (Position Squared)","519","20","2026-07-20","26:26"
"Q9ycQHbDdJs","Agents Need Receipts, Not More Tool Calls - Armanas Povilionis, Alithea Bio","257","7","2026-07-20","10:22"
"maTp79FD9gI","Agent Output Is Not UX: Rendering Layer Your LLM Pipeline Is Missing - Bala Ramdoss, Amazon Lens","353","7","2026-07-20","14:12"
"hMlLw1LeIK8","Voice Agents That Handle Interrupts - Chintan Agrawal and Daniel Wirjo, AWS","342","11","2026-07-20","32:56"
"LC3-P7v3yoI","Skills are the New SDKs - Elvin Aghammadzada, DataRobot","1151","27","2026-07-20","26:39"
"0RNNfxpdbQk","Medic for Apache Spark - First Aid for Failing Jobs - Drasko Profirovic, Pinterest","191","6","2026-07-20","11:20"
"_cVfz88_j7A","Can Oncology Workflows Run Without Human Touch? - Anant Shankhdhar, Risa Labs","490","24","2026-07-20","16:41"
"-561cZmir5Q","From Tokens to Cells: Foundation Models for Single-Cell Biology - Akram Baharlouei, Altos Labs","938","29","2026-07-19","16:57"
"lMCxVorb9wM","You Didn't Ship a Bug. You Just Wrote It for a Human. - Ravi Madabhushi, Scalekit","693","13","2026-07-19","12:50"
"JJGbw4ggaFs","From Blind Spots to Merged PRs: Continuous Agentic Performance Optimization - May Walter, Hud","1920","74","2026-07-19","22:45"
"3z2uT5aDx_Y","Build Evals That Actually Matter - Nick Ung, Lyft","3758","112","2026-07-19","37:44"
"XLEYtv3cMlw","Autonomous Agents for Scientific Tasks - Sina Shahandeh, Radicait","1523","54","2026-07-18","19:22"
"3ySF0I5iE_0","A Practitioner's Guide to Graphs - Tim Ainge, Good Collective","5329","195","2026-07-18","14:17"
"L3RuP_q8Bwc","The UX of AI: Making AI-Powered Apps Your Users Don't Hate - Kathryn Grayson Nanz, Progress Software","3118","95","2026-07-18","35:58"
"eAXxdtNlK04","Stop Burning Tokens: Why self-improvement needs domain expertise first - Annabell Schäfer, Langfuse","7194","221","2026-07-18","17:39"
"Bck7ABCZRZI","Stop Renting Your Cognitive Infrastructure - Thiyagarajan Maruthavanan, Kalmantic Labs","1480","37","2026-07-18","7:51"
"yv6xovSsB1U","Content Is Code - Matt Palmer, Conductor","1655","34","2026-07-18","10:53"
"Fu45geO3zX8","Agents Need Receipts, Not More Tool Calls - Armanas Povilionis, Alithea Bio","1231","33","2026-07-18","19:36"
"zU4EagB311U","Agents Need Feature Flags - Sachin Gupta","980","27","2026-07-18","19:16"
"bZISsg7H7DA","Your Agents Need a Save Button - Hamza Tahir, ZenML","1402","30","2026-07-18","17:07"
"imFedndyXYQ","Using LLMs to Secure Source Code — Eugene Yan, Anthropic","125","4","2026-07-17","21:30"
"c35YoMdnI78","The Great Loops Debate — Dex Horthy, Geoff Huntley, Ian Livingstone, Greg Pstrucha, @insecure-agents","6808","133","2026-07-17","1:00:16"
"uIiA6DquRiE","Special Topics in Kernels, RL, Reward Hacking in Agents — Daniel Han, Unsloth","4618","192","2026-07-17","2:20:20"
"RGSFUqzqErE","On AI and Knowledge — Pablo Castro, Distinguished Engineer & CVP for AI Knowledge, Microsoft","1836","71","2026-07-17","17:35"
"1P1hJ36rxM0","""Software engineering is not about writing code"" — Benoit Schillings, Google DeepMind VP of Research","4577","103","2026-07-17","20:26"
"eBUyTS7SzV4","The New Physics of Business — Garry Tan, Y Combinator","19198","630","2026-07-17","21:08"
"Z2Erdirpudo","Imagination Engineering — Eve Bouffard, Head of Design, Y Combinator","4412","149","2026-07-16","16:04"
"iCj_ATyThvc","An AI Agent Became the #1 Contributor in OpenAI's Hiring Challenge — Zhengyao Jiang, Weco","2604","66","2026-07-16","16:16"
"ZSQb5fzRFPw","Computer-Use 2.0: Agents Just Got Multi-Cursor — Francesco Bonacci, Cua","3599","82","2026-07-15","16:41"
"q4Tr-DknG2M","Recursive Model Improvement — Lee Robinson, Cursor, SpaceXAI","5367","132","2026-07-15","20:32"
"uU5Gv2h8-9g","Claude Fable, Claude Tag, and Anthropic's Culture — Cat Wu & Thariq Shihipar ft Simon Willison","4628","71","2026-07-15","51:30"
"8G_1-3IO4ZQ","WTF Is the Context Layer? The Missing Infrastructure for Production Agents — Prukalpa Sankar","9161","212","2026-07-14","20:53"
"0vphxNt4wyk","Don't Ship Skills Without Evals — Philipp Schmid, Google DeepMind","30914","863","2026-07-14","21:45"
"APqXGyCoGW4","Forward Deployed Engineering at Cursor — Pauline Brunet","11027","236","2026-07-14","20:47"
"n97BCfyFIvw","""The engineer of the future is the person who is able to choose what is worth doing."" — Addy Osmani","20839","555","2026-07-14","18:26"
"-CnA2lGfymY","""I've never seen anything scarier than an LLM with tool calls."" — Erik Meijer aka @HeadinTheBox","4643","105","2026-07-13","21:13"
"O3FEoMYvUf8","Stop Evaluating Models Like It's the 50s - Alejandro Vidal, Mindmakers","1027","31","2026-07-13","23:34"
"OqM67QG_Ikk","From fork() to Fleet: Designing an Agent Sandbox Cloud — Abhishek Bhardwaj, OpenAI","30764","260","2026-07-13","44:33"
"V-EDrhIhHzQ","Modern Post-Training: A Deep Dive  — Will Brown, Prime Intellect","6873","172","2026-07-13","46:52"
"8oyalrfwgjw","RLM: Recursive Language Models for Large Codebases - Shashi, Superagentic AI","2576","64","2026-07-12","17:27"
"7JgIS42mz7U","The AI bugpocalypse is here. Now what? - Jack Cable, Corridor","2502","38","2026-07-12","19:43"
"EUsPvBeIx70","Semantic Blindness: 500,000 Sensors Confused an LLM - Raahul Singh & Vanč Levstik, Phaidra","1543","31","2026-07-12","16:24"
"sum9DgexFRQ","The Agentic Web and the Bazaar Era of AI - Ramesh Raskar, MIT Media Lab","1867","55","2026-07-12","12:10"
"UlFB6efYN5Q","A Song of Types and Agents - Roberto Stagi, Ratel","1302","26","2026-07-12","14:16"
"TJPInBjhE4Q","ReviewDebt: a practical framework for scoring every pull request — Sachin Gupta, Ebay","1767","27","2026-07-12","25:00"
"5192csoTkVo","remobi.app: Don't change your terminal workflow for mobile","1211","26","2026-07-12","9:20"
"7P0elyLIxXo","What Does Done Even Mean? Agents and Paperclip's Liveness Model - Dotta, Paperclip","1893","46","2026-07-12","7:13"
"xg1zNlzw7Jk","Claws Out: Securing and Building with OpenClaw - Nick Taylor, Pomerium","1075","29","2026-07-11","17:11"
"vJukHCIv7Ck","Stop AI Agent Hallucinations: 5 Techniques + Production Patterns - Elizabeth Fuentes, AWS","3422","110","2026-07-11","55:19"
"jtzh-GBXBWc","The Factory That Dreams: 39 AI Agents, No Framework - Rushabh Doshi, Machinecraft","1552","27","2026-07-11","9:58"
"RGiXcVxSD3s","Chat and citations won't save your vertical AI - Atul Ramachandran, Filed Inc","1573","57","2026-07-11","15:12"
"KB41dTlX1Uc","State of the Union: Why Local, Why Now — NVIDIA, Osmantic, Roboflow, EXO Labs, @matthew_berman","18451","437","2026-07-11","44:29"
"WLXxTaPagA8","Every Solo Agent Builder Eventually Reinvents a Worse Version of CI/CD - Sumaiya Shrabony","2869","47","2026-07-11","10:51"
"9arM9b7JgOo","Develop at Idea Velocity - Jeffrey Lee-Chan, Snapchat","1150","14","2026-07-11","15:28"
"GdvKNwMcfd0","From Writing Code to Designing Systems: How the Developer Role is Changing — Chris Noring, Microsoft","15778","529","2026-07-11","23:05"
"YZQsWVeN3rE","Design Patterns for AI Trust: Juries, Libraries, and Agent Tiers — Alex Bauer, Upside.tech","4652","83","2026-07-11","17:08"
"WkBPX-oDMnA","Understanding is the new bottleneck — Geoffrey Litt, Notion","76916","2766","2026-07-10","19:33"
"ZpK5PWX2YRM","Should AI Engineers Still Read Code in 2026? The Z/L Continuum — Alex Volkov, ThursdAI","3903","93","2026-07-10","21:34"
"pMggiOb18tc","The Golden Age of AI Engineering — Alexander Embiricos & Romain Huet & Peter Steinberger, OpenAI","62208","356","2026-07-09","25:13"
"xUnRQ9vLXxo","Everything we knew about software has changed — Theo Browne, @t3dotgg ​","80903","3044","2026-07-08","16:01"
"grdoOC1BT1s","Think You Can Build a Game with AI? Think Again! - Danielle An & David Hoe, Meta","1907","29","2026-07-08","18:00"
"iRcX54EO5g8","Your agent is blindfolded — Johan Lajili, Poolside AI","1307","26","2026-07-08","9:57"
"HsxQICTLF84","Building an ACP-Compatible Agent Live — Bennet Fenner, Zed","3931","62","2026-07-08","18:19"
"HEFSExa0xl0","Teaching Coding Agents to do Spreadsheets - Nuno Campos, Witan Labs","3978","123","2026-07-08","19:08"
"MpZzWMdmQCE","Your coding agent doesn't always follow your rules — Talha Sheikh, Checkout.com","2319","50","2026-07-08","10:07"
"BqZrTdgBaPw","Running a Chess YouTube Channel entirely by AI — Stephan Steinfurt, TNG","1039","30","2026-07-08","16:31"
"4kYl2_mqmnQ","I Run a Fleet of AI Agents Across Three Machines. Here's What Broke. - Kyle Jaejun Lee, KRAFTON","2106","63","2026-07-08","9:11"
